,ID,"Уставный капитал, млн RUB","Налоги, млн RUB","Страховые взносы в ПФР, млн RUB","Страховые взносы в ФОМС, млн RUB","Страховые взносы в ФСС, млн RUB","Основные средства , млн RUB","Чистые активы, млн RUB","Запасы, млн RUB","Выручка, млн RUB","Чистая прибыль (убыток), млн RUB","Оплата труда, млн RUB","Оплата труда, прогноз"
211,1-5K4B5,2597.38,334.0,110.0,31.0,3.0,7341.0,6173,13094.0,17734,18.0,2405,1544
212,1-PM6JI,436.3,334.0,110.0,31.0,3.0,631.0,1663,3948.0,3157,224.0,906,522
213,1-KL08,8346.9,611.0,192.0,42.0,4.0,7898.0,605,4589.0,7248,-2175.0,1169,496
214,1-OZ5BI,8.35,320.0,38.0,41.0,2.0,85.0,1083,0.0,2084,134.0,1311,1156
215,1-6OXSB,1348.67,334.0,110.0,31.0,3.0,12523.0,1563,2690.0,30821,-622.0,3010,2962
216,1-20YAB26,0.1,276.0,103.0,25.0,1.0,0.0,9,57.0,1262,0.0,634,340
217,1-7RHDQD,13.9,1635.0,124.0,28.0,6.0,1708.0,2733,855.0,12370,1599.0,778,1259
218,1-2KC6YH,9772.19,334.0,110.0,31.0,3.0,12092.0,13490,327.0,14434,85.0,8625,1718
219,1-LG640T,2853.39,756.0,217.0,57.0,9.0,3197.0,2953,2357.0,14763,83.0,1380,1692
220,1-13GXMBU4,584.84,334.0,110.0,31.0,3.0,1556.0,2527,484.0,4460,1014.0,465,645
221,1-LCPEM,0.01,1603.0,426.0,102.0,1.0,16168.0,16655,114.0,8355,1676.0,1999,3397
222,1-48QQF,179.47,334.0,110.0,31.0,3.0,928.0,2276,30.0,136720,1372.0,1583,9770
223,1-B80CP,23.09,364.0,182.0,43.0,3.0,222.0,180,742.0,8164,27.0,803,989
224,1-OMEI,93341.59,334.0,110.0,31.0,3.0,149343.0,136850,2830.0,37755,1769.0,14344,7521
225,1-FPUFNW0,78.29,334.0,110.0,31.0,3.0,3122.0,3711,2969.0,13867,335.0,2614,1596
226,1-QCHYX,0.12,705.0,272.0,68.0,4.0,2875.0,259,326.0,6487,87.0,1397,1326
227,1-1HZ6V3,328.44,334.0,110.0,31.0,3.0,9680.0,11823,7997.0,52869,9062.0,1863,2761
228,1-9ESLK,47.55,334.0,110.0,31.0,3.0,5014.0,17330,88.0,5195,-5776.0,736,4033
229,1-2W7AUV7,0.01,275.0,61.0,15.0,0.0,28.0,96,2.0,905,257.0,405,160
230,1-LE9VTL,0.13,147.0,111.0,34.0,2.0,24.0,232,11.0,1437,10.0,795,560
231,1-N5LK,174.09,334.0,110.0,31.0,3.0,22240.0,64484,3786.0,78444,13832.0,10632,8808
232,1-OCFRG,3.6,410.0,124.0,35.0,4.0,509.0,1988,174.0,8188,559.0,868,1100
233,1-Q6B01,291.42,238.0,154.0,26.0,10.0,20.0,933,610.0,2380,136.0,911,313
234,1-1YYMFFB,1491.57,334.0,110.0,31.0,3.0,6870.0,6560,861.0,14395,1501.0,1264,1617
235,1-64QF946,0.64,334.0,110.0,31.0,3.0,252.0,1152,2906.0,3573,328.0,464,566
236,1-OMDS,32.0,334.0,110.0,31.0,3.0,2695.0,15216,109.0,6898,1750.0,884,1932
237,1-9MUUF,0.91,679.0,104.0,34.0,5.0,1302.0,4312,66.0,3486,1602.0,748,862
238,1-CZE4B,50.0,925.0,309.0,117.0,8.0,101.0,-1558,30.0,3307,-393.0,2730,2173
239,1-3BD2R7H,0.5,414.0,158.0,37.0,5.0,3.0,388,3063.0,3688,104.0,994,544
240,1-PTG4L0,1431.04,334.0,110.0,31.0,3.0,58.0,2250,1407.0,13841,454.0,624,1217
